시군구,번지,계약년월,계약일,거래금액(만원),건축년도,단지명,전용면적(㎡),층,해제사유발생일
부산광역시 사하구 다대동,1550,202409,30,"8,900",1996,몰운대,49.08,4,-
부산광역시 북구 구포동,851,202409,30,"10,500",1994,태평양그린,83.63,17,-
부산광역시 북구 구포동,1300,202409,30,"21,000",2021,리버파크반도유보라,39.795,3,-
부산광역시 북구 구포동,1300,202409,30,"23,000",2021,리버파크반도유보라,39.795,15,-
부산광역시 북구 구포동,1300,202409,30,"21,500",2021,리버파크반도유보라,39.795,6,-
부산광역시 북구 구포동,1300,202409,30,"21,500",2021,리버파크반도유보라,39.795,6,-
부산광역시 북구 구포동,1300,202409,30,"22,500",2021,리버파크반도유보라,39.795,12,-
부산광역시 북구 구포동,1296,202409,30,"42,000",2014,구포동원로얄듀크비스타,84.9869,34,-
인천광역시 계양구 효성동,101-5,202409,30,"16,300",1996,백영,60.0,12,-
인천광역시 남동구 간석동,616-6,202409,30,"37,400",2019,간석한신더휴,59.925,12,-
인천광역시 중구 중산동,1872-1,202409,30,"27,000",2013,영종신명스카이뷰주얼리,57.016,33,-
광주광역시 서구 풍암동,1053,202409,30,"14,300",2000,한신,59.79,7,-
부산광역시 강서구 명지동,Mar-95,202409,30,"50,900",2020,더샵명지퍼스트월드3단지,80.7864,30,-
서울특별시 동작구 신대방동,565,202409,30,"82,300",1988,우성1차,66.69,9,-
부산광역시 기장군 기장읍 동부리,133-8,202409,30,"12,800",1990,대진로얄,67.92,10,-
부산광역시 강서구 명지동,3328,202409,30,"28,000",2016,명지협성휴포레,54.3113,8,-
서울특별시 동대문구 답십리동,494-2,202409,30,"75,000",1994,우창프라자,95.76,13,-
서울특별시 동대문구 답십리동,497-23,202409,30,"13,900",2015,청계푸르지오시티,18.92,5,-
부산광역시 북구 덕천동,372-1,202409,30,"31,000",2005,부영벽산파라빌,84.7222,5,-
부산광역시 강서구 명지동,3232,202409,30,"34,000",2009,퀸덤1차아인슈타인타운,84.97,4,-
대구광역시 북구 대현동,531,202409,30,"28,000",2010,대현한신휴플러스,59.88,11,-
부산광역시 강서구 명지동,3244,202409,30,"37,500",2008,롯데캐슬,101.88,13,-
서울특별시 구로구 개봉동,476,202409,30,"70,000",1999,한마을,59.57,20,-
광주광역시 서구 쌍촌동,1228-1,202409,30,"13,300",1991,빛고을파크,50.22,9,-
광주광역시 서구 풍암동,1054,202409,30,"29,200",2001,새한센시빌,82.6212,10,-
서울특별시 마포구 염리동,520,202409,30,"73,000",2001,염리삼성래미안,59.52,15,-
부산광역시 북구 화명동,295,202409,30,"9,300",1996,도시화명그린(295),49.42,2,-
부산광역시 북구 화명동,2341,202409,30,"58,000",2021,화명푸르지오헤리센트,84.9532,3,-
부산광역시 북구 화명동,2324,202409,30,"67,000",2012,화명롯데캐슬카이저,84.95,16,-
광주광역시 서구 풍암동,1099,202409,30,"22,400",2000,부영APT(신암마을),80.1864,1,-
광주광역시 서구 동천동,515,202409,30,"34,000",2008,동천 리버팰리스,75.72,10,-
서울특별시 구로구 오류동,346,202409,30,"64,000",2004,오류동푸르지오,61.257,7,-
광주광역시 서구 풍암동,1059,202409,30,"15,200",2000,한국,59.985,15,-
인천광역시 계양구 계산동,1084-3,202409,30,"42,000",1997,은행마을(태산),100.59,19,-
광주광역시 서구 내방동,848,202409,30,"18,800",2002,내방마을주공,59.19,15,-
