시군구,번지,계약년월,계약일,거래금액(만원),건축년도,단지명,전용면적(㎡),층,해제사유발생일
전북특별자치도 익산시 어양동,652-1,202201,31,"7,800",1998,부영1차,49.8,1,-
전북특별자치도 군산시 대야면 지경리,699-147,202201,31,"4,300",1992,한신타운,59.73,8,-
전북특별자치도 전주시 완산구 삼천동1가,705-6,202201,31,"21,000",1992,광진궁전맨션,141.79,10,-
전북특별자치도 전주시 완산구 평화동1가,445-6,202201,31,"5,000",1992,"평화주공1,2",38.64,5,-
강원특별자치도 인제군 북면 원통리,755-11,202201,31,"6,850",1997,혜진2차,59.03,2,-
강원특별자치도 철원군 동송읍 이평리,1554,202201,31,"26,800",2008,금강아미움(101~107동),84.972,7,-
강원특별자치도 횡성군 횡성읍 읍하리,518,202201,31,"16,000",1998,대동황토방,84.93,7,-
강원특별자치도 태백시 황지동,621-277,202201,31,"9,700",2001,선명5차,59.5139,3,-
강원특별자치도 원주시 단구동,1588-1,202201,31,"13,500",2002,현진에버빌2,59.761,1,-
경상남도 거제시 고현동,1062,202201,31,"12,500",2002,거제2차덕산베스트타운,59.31,14,-
경상남도 진주시 신안동,707-1,202201,31,"13,700",1996,신안주공2,49.97,11,-
경상남도 창원시 진해구 부흥동,01월 11일,202201,31,"12,000",1994,대신한울,81.36,4,-
경상남도 창원시 마산회원구 석전동,300,202201,31,"24,700",2019,창원메트로시티석전,38.828,16,-
경상남도 창원시 성산구 대방동,358,202201,31,"17,000",1992,대동,49.94,8,20220421
경상북도 안동시 노하동,899,202201,31,"21,500",2018,신안동역코아루미소지움,82.5267,1,-
경상북도 김천시 지좌동,759-7,202201,31,"11,200",2016,발트하임101동,59.8175,2,-
경상북도 김천시 율곡동,408,202201,31,"32,000",2013,경북혁신케이씨씨스위첸,84.84,6,-
경상북도 포항시 남구 대잠동,1036,202201,31,"53,000",2018,포항자이아파트,84.9388,30,-
전라남도 무안군 무안읍 교촌리,1039,202201,31,"14,900",2001,광명샤인빌,84.9072,13,-
전라남도 해남군 해남읍 해리,305-2,202201,31,"7,450",1992,금영,59.97,8,-
전라남도 고흥군 고흥읍 남계리,717-1,202201,31,"16,000",2012,대영베스트,80.69,4,-
전라남도 나주시 남평읍 동사리,414,202201,31,"15,500",2017,에스티엑스칸.중우하나린,59.9596,26,-
전라남도 순천시 동외동,56-14,202201,31,"13,900",1993,선미중앙하이츠,84.93,13,-
충청남도 청양군 청양읍 읍내리,376-8,202201,31,"8,000",1997,세아,49.98,2,-
충청남도 당진시 대덕동,1876,202201,31,"24,000",2020,당진대덕수청시티프라디움1차,59.9764,11,-
충청남도 서산시 성연면 왕정리,719,202201,31,"25,000",2015,이안서산테크노밸리,84.9767,8,-
충청남도 서산시 동문동,1000-4,202201,31,"5,000",2018,코아루시티,14.23,3,-
충청남도 천안시 동남구 영성동,Sep-48,202201,31,"20,000",2020,형우이즈뷰아파트2차2동,51.32,8,-
충청북도 증평군 증평읍 장동리,921,202201,31,"13,500",2003,증평4단지주공,59.92,4,-
충청북도 증평군 증평읍 장동리,921,202201,31,"9,600",2003,증평4단지주공,51.49,8,-
충청북도 청주시 흥덕구 봉명동,2758,202201,31,"26,000",2003,두진하트리움,136.497,15,-
경기도 광주시 양벌동,1111,202201,31,"66,900",2018,광주역우방아이유쉘2단지,77.8977,8,-
경기도 김포시 풍무동,147,202201,31,"50,000",2000,양도마을(서해그랑블),108.6002,10,-
경기도 고양시 일산서구 일산동,2019,202201,31,"36,500",1996,에이스11차,84.87,18,-
경기도 안산시 단원구 초지동,801,202201,31,"74,700",2018,롯데캐슬더퍼스트,84.97,13,-
경기도 안산시 단원구 초지동,801,202201,31,"74,700",2018,롯데캐슬더퍼스트,84.97,13,20220629
울산광역시 남구 무거동,840,202201,31,"32,300",2002,쌍용스윗닷홈2,84.9348,2,-
울산광역시 남구 무거동,220-1,202201,31,"15,500",1989,부성타워맨션,84.85,3,-
대전광역시 유성구 원내동,394,202201,31,"32,000",1996,샘물타운,84.94,12,-
대전광역시 유성구 원신흥동,485,202201,31,"50,000",2015,양우내안애레이크힐,70.8387,3,-
대전광역시 서구 관저동,1985,202201,31,"57,500",2018,관저더샵,84.882,18,-
대전광역시 중구 문화동,422-1,202201,31,"16,500",2000,햇살,59.4,6,-
광주광역시 광산구 소촌동,612,202201,31,"9,900",1995,서라2,59.985,10,-
광주광역시 광산구 쌍암동,694-59,202201,31,"53,000",2017,쌍암중흥에스-클래스리버시티,76.9179,16,-
광주광역시 북구 문흥동,787-1,202201,31,"15,000",1990,주공,58.01,1,-
광주광역시 북구 오치동,1005,202201,31,"11,900",1992,주공,52.09,5,20220307
광주광역시 남구 송하동,43-28,202201,31,"18,000",1996,금호타운,84.895,10,20220210
인천광역시 서구 석남동,523-2,202201,31,"17,000",2002,이화골드타운,59.93,2,-
인천광역시 부평구 부평동,147-9,202201,31,"21,400",2014,태강플러스,49.92,9,-
인천광역시 동구 송현동,06월 26일,202201,31,"11,000",1993,송현주공,36,9,-
대구광역시 달서구 대곡동,1123,202201,31,"53,000",2018,수목원제일풍경채,99.94,7,-
대구광역시 동구 검사동,908-130,202201,31,"21,000",2014,해오름타운A,84.7626,8,-
부산광역시 해운대구 중동,1498-9,202201,31,"102,000",2006,뷔센하우스,240.17,4,-
서울특별시 강남구 역삼동,709-5,202201,31,"220,000",2014,테헤란아이파크,70.8333,2,20220321
서울특별시 구로구 구로동,Apr-46,202201,31,"13,000",2011,하나세인스톤3차,19.99,14,-
서울특별시 중구 회현동2가,87,202201,31,"250,000",2010,쌍용남산플래티넘,177,23,-
부산광역시 연제구 거제동,1272,202201,31,"45,000",2001,거제아시아드삼정그린코아,84.8673,16,-
전라남도 순천시 해룡면 상삼리,693,202201,31,"11,400",1999,금당그리안,59.76,4,-
전라남도 목포시 상동,1018,202201,31,"15,500",1995,삼성,84.93,15,-
경기도 부천시 원미구 상동,570-5,202201,31,"57,300",2002,하얀마을(경남),59.8218,6,-
강원특별자치도 동해시 천곡동,802-1,202201,31,"8,500",1996,유공타워,59.256,6,-
경기도 용인시 처인구 포곡읍 둔전리,147,202201,31,"29,500",1999,신원2차,59.96,20,-
경기도 부천시 소사구 괴안동,99,202201,31,"36,900",1995,아주,59.115,2,-
광주광역시 동구 계림동,1815,202201,31,"20,000",2018,두산위브2차,39.862,12,-
전라남도 해남군 해남읍 구교리,1005,202201,31,"21,000",2015,해남파크사이드아파트,58.8172,9,20230307
전북특별자치도 전주시 덕진구 반월동,217-4,202201,30,"24,000",2006,영무예다음,84.824,3,20220602
전북특별자치도 전주시 덕진구 송천동2가,1298,202201,30,"57,000",2019,에코시티KCC스위첸,84.981,16,-
전북특별자치도 전주시 덕진구 송천동1가,873,202201,30,"35,200",2013,벽산e-리버파크,84.9879,3,-
전북특별자치도 전주시 완산구 서신동,961,202201,30,"17,000",1999,동아한일,60,4,-
전북특별자치도 전주시 완산구 효자동1가,451,202201,30,"17,500",1997,삼성효자맨션,83.56,19,-
강원특별자치도 홍천군 홍천읍 연봉리,468-1,202201,30,"12,000",2000,청솔,59.81,12,-
강원특별자치도 삼척시 마달동,Apr-53,202201,30,"1,950",1995,누가,27.18,5,-
강원특별자치도 삼척시 남양동,348-2,202201,30,"5,300",1988,한흥3,48.57,5,-
강원특별자치도 원주시 명륜동,710,202201,30,"9,300",1992,행운,41.3,8,-
강원특별자치도 춘천시 퇴계동,917,202201,30,"18,300",1995,"한진,한성",84.83,12,-
강원특별자치도 춘천시 퇴계동,917,202201,30,"18,300",1995,"한진,한성",84.83,12,20220321
강원특별자치도 춘천시 후평동,885-1,202201,30,"11,800",1994,세경4차,50.4,2,-
제주특별자치도 서귀포시 서홍동,1593-1,202201,30,"16,000",2016,서홍에이원시티빌,53.27,4,-
경상남도 거제시 장평동,1212-2,202201,30,"40,300",2017,거제장평유림노르웨이숲,84.9922,44,-
경상남도 김해시 부곡동,803-2,202201,30,"15,000",2004,월산마을7단지주공4차,59.73,10,-
경상남도 김해시 어방동,577,202201,30,"10,100",1996,어방화인아파트,59.84,14,-
경상남도 김해시 동상동,495-7,202201,30,"9,700",1994,한덕타워,59.73,15,-
경상남도 김해시 봉황동,126,202201,30,"6,500",1986,그린,50.4,5,-
경상남도 김해시 외동,1261-9,202201,30,"14,000",1997,한국,49.35,3,-
경상남도 김해시 동상동,495-7,202201,30,"9,700",1994,한덕타워,59.73,5,-
경상남도 진주시 정촌면 예하리,1286,202201,30,"27,400",2019,진주정촌대경파미르,66.6161,2,-
경상남도 진주시 주약동,407-1,202201,30,"24,300",1999,금호석류,84.87,13,-
경상남도 진주시 초전동,1673,202201,30,"68,200",2018,이지더원,113.588,18,-
경상남도 창원시 진해구 남문동,1274-1,202201,30,"21,450",2017,시티프라디움1차아파트,59.9808,24,-
경상남도 창원시 진해구 남문동,1293-1,202201,30,"27,500",2018,남문호반베르디움,71.991,6,-
경상남도 창원시 마산합포구 현동,700,202201,30,"41,500",2017,중흥S클래스프라디움3차,84.9841,23,-
경상남도 창원시 성산구 내동,452-14,202201,30,"22,600",2009,월드메르디앙웨스턴애비뉴,59.9294,13,-
