sido,sigungu,area_bucket,txn_count,avg_price_per_m2,avg_yield
경상남도,경상남도 창원시,중형,185,335.76479548581943,0.0
전북특별자치도,전북특별자치도 전주시,중형,149,270.59801174848536,0.0
충청북도,충청북도 청주시,중형,130,286.56503909428733,0.0
경상남도,경상남도 김해시,중형,99,312.5757406852796,0.0
광주광역시,광주광역시 북구,중형,88,265.58226820975653,0.0
경상북도,경상북도 포항시,중형,87,229.7826411794724,0.0
경상남도,경상남도 진주시,중형,79,294.6156046001989,0.0
경상북도,경상북도 구미시,중형,76,196.6215737677149,0.0
강원특별자치도,강원특별자치도 원주시,중형,75,256.08294733637746,0.0
경기도,경기도 평택시,중형,75,427.410171877008,0.0
