sido,sigungu,area_bucket,txn_count,avg_price_per_m2,avg_yield
경기도,경기도 수원시,중형,78217,413.43822191281123,2.0859090523203543
서울특별시,서울특별시 강서구,소형,68753,577.0976484672534,3.9400314052232934
경기도,경기도 고양시,중형,67682,401.2156962548066,2.262141558135029
서울특별시,서울특별시 관악구,소형,59134,463.4767281178993,5.488199115580481
경기도,경기도 성남시,중형,59117,561.6224362302548,2.1012801003210226
서울특별시,서울특별시 송파구,소형,57664,619.5588455297095,4.375865383256984
경기도,경기도 용인시,중형,56472,449.9523094146789,1.6525112921976353
경기도,경기도 수원시,소형,54620,322.50113687047127,5.690831406394399
경기도,경기도 화성시,중형,53921,392.61958760183103,1.9538711364537196
경상남도,경상남도 창원시,중형,51891,268.442535434823,1.701213306147744
