sido,sigungu,area_bucket,txn_count,avg_price_per_m2,avg_yield
경기도,경기도 수원시,중형,78217,413.43822191281123,2.0859090523203543
서울특별시,서울특별시 강서구,소형,68748,577.0740580475394,3.9403179612980317
경기도,경기도 고양시,중형,67682,401.2156962548066,2.262141558135029
서울특별시,서울특별시 관악구,소형,59126,463.45799516871386,5.488941692330551
경기도,경기도 성남시,중형,59117,561.6224362302548,2.1012801003210226
서울특별시,서울특별시 송파구,소형,57661,619.5328497833958,4.376093051805045
경기도,경기도 용인시,중형,56472,449.9523094146789,1.6525112921976353
경기도,경기도 수원시,소형,54609,322.4930177531786,5.691977721937081
경기도,경기도 화성시,중형,53921,392.61958760183103,1.9538711364537196
경상남도,경상남도 창원시,중형,51891,268.442535434823,1.701213306147744
