level,sido,sigungu,status
sigungu,강원특별자치도,강원특별자치도 고성군,unused_reference_entry
sigungu,강원특별자치도,강원특별자치도 화천군,unused_reference_entry
sigungu,경기도,경기도 고양시덕양구,unused_reference_entry
sigungu,경기도,경기도 고양시덕양구,unused_reference_entry
sigungu,경기도,경기도 고양시일산동구,unused_reference_entry
sigungu,경기도,경기도 고양시일산동구,unused_reference_entry
sigungu,경기도,경기도 고양시일산서구,unused_reference_entry
sigungu,경기도,경기도 과천시,unused_reference_entry
sigungu,경기도,경기도 과천시,unused_reference_entry
sigungu,경기도,경기도 부천시소사구,unused_reference_entry
sigungu,경기도,경기도 부천시소사구,unused_reference_entry
sigungu,경기도,경기도 부천시오정구,unused_reference_entry
sigungu,경기도,경기도 부천시오정구,unused_reference_entry
sigungu,경기도,경기도 부천시원미구,unused_reference_entry
sigungu,경기도,경기도 성남시분당구,unused_reference_entry
sigungu,경기도,경기도 성남시수정구,unused_reference_entry
sigungu,경기도,경기도 성남시중원구,unused_reference_entry
sigungu,경기도,경기도 수원시권선구,unused_reference_entry
sigungu,경기도,경기도 수원시영통구,unused_reference_entry
sigungu,경기도,경기도 수원시장안구,unused_reference_entry
sigungu,경기도,경기도 수원시장안구,unused_reference_entry
sigungu,경기도,경기도 수원시팔달구,unused_reference_entry
sigungu,경기도,경기도 안산시단원구,unused_reference_entry
sigungu,경기도,경기도 안산시단원구,unused_reference_entry
sigungu,경기도,경기도 안산시상록구,unused_reference_entry
sigungu,경기도,경기도 안산시상록구,unused_reference_entry
sigungu,경기도,경기도 안양시동안구,unused_reference_entry
sigungu,경기도,경기도 안양시만안구,unused_reference_entry
sigungu,경기도,경기도 연천군,unused_reference_entry
sigungu,경기도,경기도 연천군,unused_reference_entry
sigungu,경기도,경기도 용인시기흥구,unused_reference_entry
sigungu,경기도,경기도 용인시수지구,unused_reference_entry
sigungu,경기도,경기도 용인시처인구,unused_reference_entry
sigungu,경상남도,경상남도 거창군,unused_reference_entry
sigungu,경상남도,경상남도 의령군,unused_reference_entry
sigungu,경상남도,경상남도 창원시마산합포구,unused_reference_entry
sigungu,경상남도,경상남도 창원시마산회원구,unused_reference_entry
sigungu,경상남도,경상남도 창원시성산구,unused_reference_entry
sigungu,경상남도,경상남도 창원시성산구,unused_reference_entry
sigungu,경상남도,경상남도 창원시의창구,unused_reference_entry
sigungu,경상남도,경상남도 창원시진해구,unused_reference_entry
sigungu,경상남도,경상남도 하동군,unused_reference_entry
sigungu,경상북도,경상북도 봉화군,unused_reference_entry
sigungu,경상북도,경상북도 성주군,unused_reference_entry
sigungu,경상북도,경상북도 영덕군,unused_reference_entry
sigungu,경상북도,경상북도 영덕군,unused_reference_entry
sigungu,경상북도,경상북도 영양군,unused_reference_entry
sigungu,경상북도,경상북도 울릉군,unused_reference_entry
sigungu,경상북도,경상북도 울진군,unused_reference_entry
sigungu,경상북도,경상북도 의성군,unused_reference_entry
sigungu,경상북도,경상북도 청도군,unused_reference_entry
sigungu,경상북도,경상북도 청도군,unused_reference_entry
sigungu,경상북도,경상북도 청송군,unused_reference_entry
sigungu,경상북도,경상북도 포항시남구,unused_reference_entry
sigungu,경상북도,경상북도 포항시남구,unused_reference_entry
sigungu,경상북도,경상북도 포항시북구,unused_reference_entry
sigungu,부산광역시,부산광역시 중구,unused_reference_entry
sigungu,서울특별시,서울특별시 종로구,unused_reference_entry
sigungu,서울특별시,서울특별시 종로구,unused_reference_entry
sigungu,세종특별자치시,세종특별자치시 세종시,unused_reference_entry
sigungu,인천광역시,인천광역시 옹진군,unused_reference_entry
sigungu,인천광역시,인천광역시 옹진군,unused_reference_entry
sigungu,전라남도,전라남도 강진군,unused_reference_entry
sigungu,전라남도,전라남도 곡성군,unused_reference_entry
sigungu,전라남도,전라남도 보성군,unused_reference_entry
sigungu,전라남도,전라남도 보성군,unused_reference_entry
sigungu,전라남도,전라남도 신안군,unused_reference_entry
sigungu,전라남도,전라남도 완도군,unused_reference_entry
sigungu,전라남도,전라남도 완도군,unused_reference_entry
sigungu,전라남도,전라남도 장성군,unused_reference_entry
sigungu,전라남도,전라남도 장성군,unused_reference_entry
sigungu,전라남도,전라남도 장흥군,unused_reference_entry
sigungu,전라남도,전라남도 함평군,unused_reference_entry
sigungu,전라남도,전라남도 함평군,unused_reference_entry
sigungu,전북특별자치도,전북특별자치도 무주군,unused_reference_entry
sigungu,전북특별자치도,전북특별자치도 부안군,unused_reference_entry
sigungu,전북특별자치도,전북특별자치도 부안군,unused_reference_entry
sigungu,전북특별자치도,전북특별자치도 순창군,unused_reference_entry
sigungu,전북특별자치도,전북특별자치도 임실군,unused_reference_entry
sigungu,전북특별자치도,전북특별자치도 장수군,unused_reference_entry
sigungu,전북특별자치도,전북특별자치도 전주시덕진구,unused_reference_entry
sigungu,전북특별자치도,전북특별자치도 전주시완산구,unused_reference_entry
sigungu,전북특별자치도,전북특별자치도 진안군,unused_reference_entry
sigungu,전북특별자치도,전북특별자치도 진안군,unused_reference_entry
sigungu,충청남도,충청남도 부여군,unused_reference_entry
sigungu,충청남도,충청남도 부여군,unused_reference_entry
sigungu,충청남도,충청남도 서천군,unused_reference_entry
sigungu,충청남도,충청남도 서천군,unused_reference_entry
sigungu,충청남도,충청남도 천안시동남구,unused_reference_entry
sigungu,충청남도,충청남도 천안시서북구,unused_reference_entry
sigungu,충청남도,충청남도 천안시서북구,unused_reference_entry
sigungu,충청남도,충청남도 태안군,unused_reference_entry
sigungu,충청남도,충청남도 홍성군,unused_reference_entry
sigungu,충청북도,충청북도 괴산군,unused_reference_entry
sigungu,충청북도,충청북도 단양군,unused_reference_entry
sigungu,충청북도,충청북도 옥천군,unused_reference_entry
sigungu,충청북도,충청북도 옥천군,unused_reference_entry
sigungu,충청북도,충청북도 청주시상당구,unused_reference_entry
sigungu,충청북도,충청북도 청주시서원구,unused_reference_entry
sigungu,충청북도,충청북도 청주시청원구,unused_reference_entry
sigungu,충청북도,충청북도 청주시흥덕구,unused_reference_entry
