level,sido,sigungu,status
sigungu,경기도,경기도 고양시덕양구,unused_reference_entry
sigungu,경기도,경기도 고양시덕양구,unused_reference_entry
sigungu,경기도,경기도 고양시일산동구,unused_reference_entry
sigungu,경기도,경기도 고양시일산동구,unused_reference_entry
sigungu,경기도,경기도 고양시일산서구,unused_reference_entry
sigungu,경기도,경기도 부천시소사구,unused_reference_entry
sigungu,경기도,경기도 부천시소사구,unused_reference_entry
sigungu,경기도,경기도 부천시오정구,unused_reference_entry
sigungu,경기도,경기도 부천시오정구,unused_reference_entry
sigungu,경기도,경기도 부천시원미구,unused_reference_entry
sigungu,경기도,경기도 성남시분당구,unused_reference_entry
sigungu,경기도,경기도 성남시수정구,unused_reference_entry
sigungu,경기도,경기도 성남시중원구,unused_reference_entry
sigungu,경기도,경기도 수원시권선구,unused_reference_entry
sigungu,경기도,경기도 수원시영통구,unused_reference_entry
sigungu,경기도,경기도 수원시장안구,unused_reference_entry
sigungu,경기도,경기도 수원시장안구,unused_reference_entry
sigungu,경기도,경기도 수원시팔달구,unused_reference_entry
sigungu,경기도,경기도 안산시단원구,unused_reference_entry
sigungu,경기도,경기도 안산시단원구,unused_reference_entry
sigungu,경기도,경기도 안산시상록구,unused_reference_entry
sigungu,경기도,경기도 안산시상록구,unused_reference_entry
sigungu,경기도,경기도 안양시동안구,unused_reference_entry
sigungu,경기도,경기도 안양시만안구,unused_reference_entry
sigungu,경기도,경기도 용인시기흥구,unused_reference_entry
sigungu,경기도,경기도 용인시수지구,unused_reference_entry
sigungu,경기도,경기도 용인시처인구,unused_reference_entry
sigungu,경상남도,경상남도 창원시마산합포구,unused_reference_entry
sigungu,경상남도,경상남도 창원시마산회원구,unused_reference_entry
sigungu,경상남도,경상남도 창원시성산구,unused_reference_entry
sigungu,경상남도,경상남도 창원시성산구,unused_reference_entry
sigungu,경상남도,경상남도 창원시의창구,unused_reference_entry
sigungu,경상남도,경상남도 창원시진해구,unused_reference_entry
sigungu,경상북도,경상북도 포항시남구,unused_reference_entry
sigungu,경상북도,경상북도 포항시남구,unused_reference_entry
sigungu,경상북도,경상북도 포항시북구,unused_reference_entry
sigungu,세종특별자치시,세종특별자치시 세종시,unused_reference_entry
sigungu,전북특별자치도,전북특별자치도 전주시덕진구,unused_reference_entry
sigungu,전북특별자치도,전북특별자치도 전주시완산구,unused_reference_entry
sigungu,충청남도,충청남도 천안시동남구,unused_reference_entry
sigungu,충청남도,충청남도 천안시서북구,unused_reference_entry
sigungu,충청남도,충청남도 천안시서북구,unused_reference_entry
sigungu,충청북도,충청북도 청주시상당구,unused_reference_entry
sigungu,충청북도,충청북도 청주시서원구,unused_reference_entry
sigungu,충청북도,충청북도 청주시청원구,unused_reference_entry
sigungu,충청북도,충청북도 청주시흥덕구,unused_reference_entry
