"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-01 ~ 2024-08-31"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","경기도 광주시 퇴촌면 광동리","2**","단독","8m미만","265.80","695.00","202408","31","107,000","개인","개인","1997","광동로52번길","-","중개거래","경기 하남시"
"2","경기도 양평군 단월면 삼가리","3**","단독","8m미만","102.60","263.00","202408","31","12,500","개인","개인","2005","목장길","-","직거래","-"
"3","서울특별시 동대문구 이문동","1**","단독","8m미만","81.75","83.00","202408","31","99,000","개인","개인","1969","외대역동로","-","중개거래","서울 동대문구"
"4","충청남도 천안시 동남구 목천읍 교촌리","4*","단독","8m미만","124.00","443.00","202408","31","30,500","개인","개인","2016","교촌3길","20241017","직거래","-"
"5","충청남도 부여군 내산면 운치리","5**","단독","8m미만","26.40","473.00","202408","31","2,500","개인","개인","1939","서운로","-","중개거래","충남 부여군"
"6","전북특별자치도 완주군 구이면 덕천리","1***","단독","8m미만","99.76","740.00","202408","31","31,800","개인","개인","2014","덕천전원길","-","중개거래","전북 전주시 완산구"
"7","서울특별시 동대문구 휘경동","1**","단독","8m미만","195.54","169.00","202408","31","152,000","개인","개인","1977","휘경로","-","중개거래","서울 동대문구"
"8","경상남도 양산시 동면 금산리","1***","단독","12m미만","332.57","217.90","202408","31","66,500","개인","개인","2014","금오5길","-","중개거래","경남 양산시"
"9","충청북도 제천시 서부동","8**","단독","8m미만","72.07","182.00","202408","31","8,500","개인","개인","1978","내토로15길","-","중개거래","충북 제천시"
"10","충청남도 천안시 동남구 청수동","3**","다가구","12m미만","354.86","217.80","202408","31","85,000","개인","개인","2017","청수17길","-","중개거래","충남 천안시 동남구"
"11","제주특별자치도 제주시 일도이동","1**","단독","8m미만","131.82","232.20","202408","31","36,500","개인","개인","1987","고마로1길","-","중개거래","제주 제주시"
"12","경기도 여주시 천송동","1**","단독","8m미만","96.08","202.00","202408","31","25,000","개인","개인","2018","소지개길","-","중개거래","경기 여주시"
