"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-01 ~ 2024-08-31"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","서울특별시 종로구 사직동","3**","8m미만","31.20","월세","202408","31","1,000","60","1989","경희궁3가길","202411~202611","신규","-","","","단독다가구"
"2","서울특별시 강북구 미아동","4**","8m미만","43.51","전세","202408","31","15,000","0","1995","솔샘로64다길","202412~202612","신규","-","","","단독다가구"
"3","서울특별시 중구 신당동","3**","8m미만","32.00","월세","202408","31","1,000","75","1989","동호로14길","202409~202609","신규","-","","","단독다가구"
"4","서울특별시 강남구 역삼동","6**","8m미만","29.00","월세","202408","31","1,000","75","2001","논현로106길","202409~202508","신규","-","","","단독다가구"
"5","서울특별시 강남구 역삼동","6**","8m미만","40.04","전세","202408","31","28,000","0","2002","강남대로110길","202409~202609","신규","-","","","단독다가구"
"6","서울특별시 강북구 미아동","3**","8m미만","18.00","월세","202408","31","2,000","50","2017","도봉로49길","202408~202608","신규","-","","","단독다가구"
"7","서울특별시 강북구 미아동","5*","8m미만","17.00","월세","202408","31","500","40","1996","도봉로10나길","202409~202608","신규","-","","","단독다가구"
"8","서울특별시 강북구 미아동","3**","8m미만","52.14","전세","202408","31","13,000","0","1992","도봉로35길","202410~202610","신규","-","","","단독다가구"
"9","서울특별시 강북구 미아동","8*","8m미만","20.00","월세","202408","31","700","8","1994","오현로10길","202409~202509","신규","-","","","단독다가구"
"10","경기도 성남시 분당구 구미동","1**","12m미만","56.00","월세","202408","31","2,000","95","1997","금곡로23번길","202409~202609","신규","-","","","단독다가구"
"11","서울특별시 노원구 상계동","1**","8m미만","78.06","월세","202408","31","3,000","70","1993","노원로28길","202409~202609","신규","-","","","단독다가구"
"12","서울특별시 노원구 상계동","1**","8m미만","19.80","월세","202408","31","1,000","50","2018","노원로32길","202409~202508","신규","-","","","단독다가구"
"13","서울특별시 강북구 미아동","4**","8m미만","34.97","전세","202408","31","10,500","0","1973","솔샘로58길","202409~202609","갱신","사용","10,000","0","단독다가구"
"14","서울특별시 강북구 미아동","4**","8m미만","33.45","전세","202408","31","11,700","0","1967","솔샘로64나길","202410~202610","신규","-","","","단독다가구"
"15","서울특별시 강북구 미아동","3**","8m미만","48.40","월세","202408","31","500","60","2001","도봉로23가길","202409~202609","신규","-","","","단독다가구"
"16","서울특별시 강북구 미아동","7*","8m미만","33.00","월세","202408","31","3,000","70","1992","오패산로35길","202410~202610","신규","-","","","단독다가구"
"17","경기도 용인시 처인구 모현읍 동림리","1**","8m미만","76.53","전세","202408","31","16,000","0","2019","왕림로","202409~202709","신규","-","","","단독다가구"
"18","서울특별시 노원구 상계동","3**","8m미만","31.24","월세","202408","31","500","33","1992","한글비석로33길","202409~202609","갱신","-","500","33","단독다가구"
"19","서울특별시 노원구 상계동","3**","8m미만","49.20","전세","202408","31","17,000","0","1983","상계로19길","202411~202611","신규","-","","","단독다가구"
"20","서울특별시 노원구 상계동","1**","12m미만","175.20","월세","202408","31","500","40","2019","한글비석로23길","202409~202509","신규","-","","","단독다가구"
"21","서울특별시 강남구 역삼동","7**","12m미만","22.00","월세","202408","31","1,000","35","1993","논현로71길","202408~202508","신규","-","","","단독다가구"
"22","서울특별시 동대문구 휘경동","2**","8m미만","19.00","월세","202408","31","500","40","","망우로18라길","202409~202609","신규","-","","","단독다가구"
"23","서울특별시 동대문구 휘경동","1**","8m미만","56.25","월세","202408","31","1,000","100","1997","회기로29길","202408~202508","신규","-","","","단독다가구"
"24","서울특별시 동대문구 휘경동","3**","8m미만","35.00","월세","202408","31","800","90","","망우로1길","202408~202508","신규","-","","","단독다가구"
"25","서울특별시 강남구 역삼동","6**","8m미만","29.00","월세","202408","31","1,000","75","2001","논현로106길","202409~202508","신규","-","","","단독다가구"
"26","서울특별시 강남구 역삼동","7**","8m미만","25.58","월세","202408","31","1,000","65","1995","언주로65길","202409~202609","신규","-","","","단독다가구"
"27","서울특별시 성동구 마장동","3**","8m미만","18.00","월세","202408","31","1,000","54","1977","마조로14길","202409~202609","신규","-","","","단독다가구"
"28","전북특별자치도 전주시 완산구 삼천동1가","6**","8m미만","87.25","월세","202408","31","1,000","50","1994","상거마2길","202409~202609","신규","-","","","단독다가구"
"29","서울특별시 동대문구 휘경동","2**","8m미만","17.00","월세","202408","31","1,000","40","","망우로18바길","202409~202508","신규","-","","","단독다가구"
"30","서울특별시 광진구 화양동","1*","8m미만","33.00","월세","202408","31","1,500","60","1995","군자로5길","202409~202609","신규","-","","","단독다가구"
"31","서울특별시 중랑구 상봉동","1*","8m미만","43.24","월세","202408","31","7,700","2","","신내로7가길","202409~202609","갱신","-","7,700","0","단독다가구"
"32","경기도 용인시 처인구 이동읍 천리","5**","8m미만","30.36","월세","202408","31","1,000","60","2019","백옥대로753번길","202408~202508","신규","-","","","단독다가구"
"33","경기도 수원시 영통구 망포동","4**","12m미만","41.00","전세","202408","31","6,500","0","2001","영통로90번길","202409~202609","신규","-","","","단독다가구"
"34","경기도 용인시 처인구 남사읍 북리","2**","8m미만","74.62","전세","202408","31","10,000","0","2023","삼인로","202411~202611","신규","-","","","단독다가구"
"35","서울특별시 성동구 마장동","8**","8m미만","34.00","월세","202408","31","500","85","1977","마조로15길","202408~202608","신규","-","","","단독다가구"
"36","경상남도 창원시 진해구 회현동","1*","12m미만","55.00","월세","202408","31","500","53","2014","편백로7번길","202409~202509","신규","-","","","단독다가구"
"37","경기도 용인시 처인구 양지면 평창리","6**","8m미만","24.84","월세","202408","31","500","50","2018","죽양대로","202409~202508","신규","-","","","단독다가구"
"38","서울특별시 중랑구 상봉동","7*","8m미만","35.00","월세","202408","31","2,000","55","2018","망우로55길","202409~202609","신규","-","","","단독다가구"
"39","서울특별시 은평구 신사동","2*","8m미만","142.50","월세","202408","31","2,000","40","1976","증산로21길","202409~202609","갱신","-","2,000","35","단독다가구"
"40","경기도 용인시 처인구 양지면 남곡리","1**","8m미만","26.00","월세","202408","31","500","50","2016","남곡로","202409~202509","신규","-","","","단독다가구"
"41","경기도 용인시 처인구 양지면 남곡리","8*","8m미만","19.80","전세","202408","31","5,000","0","2020","용곡로1번길","202409~202609","신규","-","","","단독다가구"
"42","경기도 용인시 처인구 양지면 남곡리","8*","8m미만","31.40","월세","202408","31","500","61","","용곡로1번길","202409~202509","신규","-","","","단독다가구"
"43","서울특별시 성북구 길음동","2*","8m미만","18.00","월세","202408","31","300","31","2011","도봉로3나길","202408~202508","신규","-","","","단독다가구"
"44","서울특별시 광진구 화양동","8*","8m미만","20.00","전세","202408","31","8,500","0","1971","군자로4길","202409~202609","신규","-","","","단독다가구"
"45","서울특별시 광진구 화양동","8*","8m미만","40.00","월세","202408","31","1,000","75","1995","능동로15길","202408~202508","신규","-","","","단독다가구"
"46","경기도 수원시 영통구 신동","9**","12m미만","59.40","전세","202408","31","20,000","0","2015","권선로882번길","202410~202610","신규","-","","","단독다가구"
"47","경기도 수원시 영통구 신동","9**","25m미만","23.10","월세","202408","31","2,000","62","","권선로882번길","202409~202509","신규","-","","","단독다가구"
"48","경기도 수원시 영통구 신동","9**","12m미만","52.80","월세","202408","31","4,000","82","2015","권선로882번길","-","-","-","","","단독다가구"
"49","경기도 수원시 영통구 신동","9**","12m미만","59.40","전세","202408","31","20,000","0","2015","권선로882번길","-","-","-","","","단독다가구"
"50","서울특별시 은평구 신사동","3**","8m미만","19.80","월세","202408","31","1,000","35","2006","증산로","-","-","-","","","단독다가구"
"51","경상남도 창원시 마산합포구 대창동","2**","8m미만","72.89","월세","202408","31","100","20","1981","문화남8길","202408~202508","신규","-","","","단독다가구"
"52","경기도 용인시 처인구 백암면 가창리","4**","12m미만","40.00","월세","202408","31","300","68","","청강가창로","202409~202509","신규","-","","","단독다가구"
"53","서울특별시 광진구 화양동","1*","8m미만","15.00","월세","202408","31","2,000","36","1990","광나루로14길","202409~202609","신규","-","","","단독다가구"
"54","서울특별시 광진구 화양동","9*","8m미만","40.00","월세","202408","31","1,000","80","1996","군자로4길","202409~202609","신규","-","","","단독다가구"
"55","경상남도 창원시 진해구 태백동","5*","8m미만","82.50","전세","202408","31","10,000","0","","여좌천로","202410~202610","신규","-","","","단독다가구"
"56","경기도 성남시 수정구 복정동","6**","12m미만","103.74","전세","202408","31","35,000","0","2004","복정로106번길","202411~202611","신규","-","","","단독다가구"
"57","서울특별시 중랑구 중화동","1**","8m미만","25.00","월세","202408","31","300","35","1994","봉화산로26가길","202409~202609","신규","-","","","단독다가구"
"58","서울특별시 성북구 안암동1가","9*","8m미만","69.25","월세","202408","31","10,000","60","2002","고려대로7길","202406~202606","갱신","-","10,000","40","단독다가구"
"59","충청남도 천안시 서북구 백석동","8**","12m미만","45.00","월세","202408","31","2,000","33","2014","백석5길","202409~202509","신규","-","","","단독다가구"
"60","충청남도 천안시 서북구 백석동","3**","25m미만","33.00","월세","202408","31","500","42","2012","한들1로","202409~202509","신규","-","","","단독다가구"
"61","충청남도 천안시 서북구 백석동","8**","12m미만","20.00","월세","202408","31","300","29","2010","백석5길","202408~202508","신규","-","","","단독다가구"
"62","서울특별시 성북구 보문동6가","1**","12m미만","61.00","월세","202408","31","12,000","25","","보문로13다길","202410~202610","신규","-","","","단독다가구"
"63","서울특별시 동대문구 회기동","1**","8m미만","33.00","월세","202408","31","1,000","70","1997","회기로10가길","202408~202508","신규","-","","","단독다가구"
"64","서울특별시 성북구 보문동6가","1**","12m미만","61.00","월세","202408","31","12,000","25","2009","보문로13다길","202410~202610","신규","-","","","단독다가구"
"65","경상북도 포항시 북구 죽도동","6**","8m미만","43.70","월세","202408","31","200","35","2008","중흥로161번길","202409~202508","신규","-","","","단독다가구"
"66","서울특별시 성동구 금호동3가","1***","8m미만","80.91","전세","202408","31","10,000","0","1993","금호산10가길","202410~202609","신규","-","","","단독다가구"
"67","서울특별시 동대문구 회기동","4*","8m미만","38.43","월세","202408","31","400","75","1957","회기로","202408~202508","신규","-","","","단독다가구"
"68","서울특별시 동대문구 회기동","1**","8m미만","24.00","월세","202408","31","200","35","1991","회기로12다길","202409~202509","신규","-","","","단독다가구"
"69","충청남도 천안시 동남구 신부동","5**","8m미만","30.00","월세","202408","31","1,000","48","2016","신부13길","202409~202509","신규","-","","","단독다가구"
"70","서울특별시 은평구 역촌동","2*","8m미만","31.40","전세","202408","31","5,000","0","1993","연서로6길","202411~202611","신규","-","","","단독다가구"
"71","서울특별시 은평구 역촌동","3*","8m미만","17.00","월세","202408","31","500","40","2017","진흥로1가길","202409~202609","신규","-","","","단독다가구"
"72","경기도 수원시 팔달구 화서동","2**","8m미만","31.00","전세","202408","31","5,000","0","1988","동말로37번길","202409~202609","신규","-","","","단독다가구"
"73","경기도 수원시 팔달구 화서동","3**","8m미만","80.22","월세","202408","31","13,000","10","","수성로244번길","202410~202610","갱신","-","12,000","10","단독다가구"
"74","경기도 수원시 팔달구 화서동","6**","12m미만","25.00","월세","202408","31","2,500","60","1999","화산로6번길","202408~202508","신규","-","","","단독다가구"
"75","경기도 수원시 팔달구 지동","2**","8m미만","66.12","월세","202408","31","500","45","1969","창룡문로","202408~202508","신규","-","","","단독다가구"
"76","경기도 수원시 장안구 영화동","1**","12m미만","43.00","전세","202408","31","8,500","0","1995","정조로934번길","202408~202608","신규","-","","","단독다가구"
"77","경상북도 포항시 북구 환호동","5**","8m미만","60.00","월세","202408","31","1,000","30","1995","환호공원길","202409~202609","신규","-","","","단독다가구"
"78","경상북도 포항시 북구 여남동","3**","8m미만","61.00","월세","202408","31","500","120","","여남포길","202409~202508","신규","-","","","단독다가구"
"79","충청남도 천안시 서북구 성정동","3**","25m미만","48.00","월세","202408","31","500","40","2016","봉정로","202409~202509","신규","-","","","단독다가구"
"80","충청남도 천안시 서북구 성정동","6**","12m미만","46.27","월세","202408","31","300","38","2011","성정9길","202409~202509","신규","-","","","단독다가구"
"81","충청남도 천안시 서북구 성정동","1***","12m미만","37.00","월세","202408","31","300","45","2011","성정공원6길","202409~202509","신규","-","","","단독다가구"
"82","충청남도 천안시 서북구 성정동","8**","8m미만","50.00","월세","202408","31","2,000","61","2020","도원7길","-","-","-","","","단독다가구"
"83","충청남도 천안시 서북구 성정동","8**","12m미만","33.30","전세","202408","31","6,500","0","2012","도원9길","-","-","-","","","단독다가구"
"84","서울특별시 성북구 안암동2가","1**","12m미만","19.00","월세","202408","31","1,000","45","2010","고려대로14길","-","-","-","","","단독다가구"
"85","충청남도 천안시 동남구 신부동","5**","12m미만","20.00","월세","202408","31","300","34","2002","방죽안3길","202409~202602","신규","-","","","단독다가구"
"86","서울특별시 광진구 화양동","3*","8m미만","14.00","월세","202408","31","300","50","1986","동일로26길","202410~202610","신규","-","","","단독다가구"
"87","서울특별시 종로구 충신동","*","8m미만","134.18","월세","202408","31","2,000","20","1993","충신4길","202408~202508","신규","-","","","단독다가구"
"88","서울특별시 강북구 수유동","3**","8m미만","37.40","월세","202408","31","500","50","1997","삼양로119길","202410~202610","신규","-","","","단독다가구"
"89","서울특별시 강북구 수유동","1**","8m미만","161.75","월세","202408","31","500","37","1966","도봉로99길","202409~202508","신규","-","","","단독다가구"
"90","서울특별시 강북구 수유동","1**","8m미만","185.45","월세","202408","31","500","30","","한천로148길","202410~202610","갱신","-","500","28","단독다가구"
"91","서울특별시 강남구 논현동","1*","8m미만","23.70","월세","202408","31","1,000","60","","도산대로8길","202408~202508","신규","-","","","단독다가구"
"92","경기도 수원시 장안구 조원동","7**","8m미만","42.90","전세","202408","31","6,000","0","1994","조원로111번길","202409~202609","신규","-","","","단독다가구"
"93","서울특별시 종로구 이화동","2*","8m미만","63.05","전세","202408","31","28,000","0","1995","이화장1가길","202410~202610","신규","-","","","단독다가구"
"94","서울특별시 강북구 수유동","6**","8m미만","27.50","월세","202408","31","1,000","50","2018","노해로33길","202409~202508","신규","-","","","단독다가구"
"95","서울특별시 강북구 수유동","*","8m미만","64.44","월세","202408","31","14,000","50","1989","삼각산로28길","202409~202609","신규","-","","","단독다가구"
"96","서울특별시 강남구 논현동","1**","8m미만","41.91","월세","202408","31","3,000","120","","논현로111길","202409~202509","신규","-","","","단독다가구"
"97","서울특별시 강남구 개포동","1***","8m미만","23.10","월세","202408","31","1,000","55","1993","개포로28길","202409~202609","신규","-","","","단독다가구"
"98","서울특별시 동대문구 장안동","9*","8m미만","69.30","월세","202408","31","5,000","100","1988","사가정로25길","202410~202610","신규","-","","","단독다가구"
"99","서울특별시 동대문구 장안동","3**","8m미만","43.17","월세","202408","31","1,000","68","2013","답십리로66길","202409~202609","신규","-","","","단독다가구"
"100","서울특별시 성북구 하월곡동","5*","12m미만","20.00","월세","202408","31","1,000","50","1991","화랑로5길","-","-","-","","","단독다가구"
"101","서울특별시 성동구 행당동","3**","8m미만","59.90","전세","202408","31","22,500","0","2011","행당로15길","202410~202610","신규","-","","","단독다가구"
"102","서울특별시 광진구 화양동","4*","8m미만","33.00","월세","202408","31","5,000","90","2010","동일로22길","-","-","-","","","단독다가구"
"103","서울특별시 중랑구 신내동","4**","8m미만","27.00","월세","202408","31","500","30","1997","송림길","-","-","-","","","단독다가구"
"104","서울특별시 광진구 군자동","1**","8m미만","23.00","전세","202408","31","13,000","0","1991","동일로56길","202410~202610","신규","-","","","단독다가구"
"105","서울특별시 광진구 군자동","3**","8m미만","20.00","전세","202408","31","9,000","0","1991","광나루로17길","202410~202610","신규","-","","","단독다가구"
"106","서울특별시 성동구 행당동","1**","8m미만","15.00","전세","202408","31","10,000","0","1990","고산자로12길","202409~202609","신규","-","","","단독다가구"
"107","서울특별시 중랑구 신내동","4**","8m미만","40.00","월세","202408","31","3,500","50","1995","용마산로125가길","202410~202610","신규","-","","","단독다가구"
"108","서울특별시 성동구 행당동","*","8m미만","18.00","월세","202408","31","3,000","50","","마조로7길","202409~202609","신규","-","","","단독다가구"
"109","서울특별시 성동구 행당동","3**","8m미만","59.90","전세","202408","31","22,500","0","2011","행당로15길","202410~202610","신규","-","","","단독다가구"
"110","서울특별시 강남구 청담동","2*","8m미만","45.00","월세","202408","31","2,000","88","1991","학동로59길","202410~202602","갱신","-","2,000","88","단독다가구"
"111","서울특별시 광진구 화양동","1*","8m미만","20.00","월세","202408","31","3,000","50","1994","군자로5길","202409~202609","신규","-","","","단독다가구"
"112","서울특별시 성북구 상월곡동","5*","8m미만","60.11","월세","202408","31","11,000","60","","장월로1길","202408~202608","신규","-","","","단독다가구"
"113","서울특별시 광진구 군자동","1**","8m미만","20.00","월세","202408","31","300","42","1965","군자로12길","202408~202608","신규","-","","","단독다가구"
"114","서울특별시 광진구 군자동","3**","8m미만","18.00","전세","202408","31","8,000","0","1985","군자로","202410~202609","신규","-","","","단독다가구"
"115","서울특별시 광진구 군자동","1**","8m미만","23.00","전세","202408","31","13,000","0","1991","동일로56길","202410~202610","신규","-","","","단독다가구"
"116","서울특별시 광진구 군자동","4**","12m미만","33.00","월세","202408","31","1,000","55","2012","군자로","202409~202609","신규","-","","","단독다가구"
"117","서울특별시 광진구 군자동","3**","8m미만","10.00","월세","202408","31","500","45","2011","광나루로15길","202409~202609","신규","-","","","단독다가구"
