"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-01 ~ 2024-08-31"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 동작구 대방동","집합","381-29","대방동23가길","제2종일반주거","제2종근린생활","12m미만","53.97"," ","30,000","1","개인","개인","202408","31","","2016","-","중개거래","서울 동작구"
"2","서울특별시 중구 정동","집합","15-6","정동길","일반상업","기타","8m미만","132.87"," ","24,100","","개인","개인","202408","31","지분","2008","-","중개거래","서울 서초구"
"3","충청북도 청주시 서원구 사창동","일반","4**","1순환로","제1종일반주거","제1종근린생활","25m이상","1329.30","452.90","164,000","","법인","개인","202408","31","","2002","20241028","중개거래","충북 청주시 서원구"
"4","충청북도 청주시 서원구 사창동","일반","4**","1순환로","제1종일반주거","제1종근린생활","25m이상","1329.30","452.90","160,000","","법인","개인","202408","31","","2002","-","중개거래","충북 청주시 서원구"
"5","강원특별자치도 강릉시 입암동","집합","240-2","성덕로","제3종일반주거","제2종근린생활","12m미만","99.84"," ","17,000","2","법인","개인","202408","31","","2006","-","직거래","-"
"6","인천광역시 연수구 송도동","집합","172-5","송도과학로","준주거","업무","25m이상","36.28"," ","19,241","","법인","개인","202408","31","","2022","-","중개거래","인천 연수구"
"7","인천광역시 연수구 송도동","집합","172-5","송도과학로","준주거","업무","25m이상","45.03"," ","24,185","","법인","개인","202408","31","","2022","-","중개거래","인천 연수구"
"8","서울특별시 광진구 화양동","집합","7-3","아차산로","일반상업","업무","25m이상","30.30"," ","20,500","10","개인","개인","202408","31","","2006","-","중개거래","서울 광진구"
"9","부산광역시 동래구 안락동","집합","1258","충렬대로446번길","제3종일반주거","제2종근린생활","25m미만","97.97"," ","22,000","4","개인","개인","202408","31","","2015","-","중개거래","부산 동래구"
"10","경기도 성남시 분당구 야탑동","집합","367-4","야탑로","일반상업","제2종근린생활","25m이상","428.16"," ","41,800","","개인","개인","202408","31","지분","1994","-","중개거래","경기 성남시 분당구"
"11","경기도 성남시 분당구 야탑동","집합","367-4","야탑로","일반상업","제2종근린생활","25m이상","428.16"," ","13,000","1","개인","개인","202408","31","지분","","-","중개거래","경기 성남시 분당구"
"12","충청북도 충주시 목행동","집합","526-29","목행산단7로","준공업","판매","25m미만","115.50"," ","5,000","","개인","개인","202408","31","","1996","-","직거래","-"
"13","서울특별시 금천구 시흥동","집합","962-6","시흥대로","제2종일반주거","제1종근린생활","25m이상","78.03"," ","72,000","","개인","개인","202408","31","","1987","20241122","중개거래","서울 금천구"
"14","서울특별시 금천구 시흥동","집합","962-6","시흥대로","제2종일반주거","판매","25m이상","78.03"," ","71,400","","개인","개인","202408","31","","1987","-","중개거래","서울 금천구"
"15","서울특별시 서대문구 연희동","일반","1**","연희로15길","제1종전용주거","제1종근린생활","8m미만","180.16","272.40","212,000","","법인","개인","202408","31","","1973","-","중개거래","서울 서대문구"
"16","인천광역시 서구 원당동","집합","1035-3","원당대로","일반상업","제1종근린생활","25m이상","30.40"," ","13,963","9","개인","법인","202408","31","","","-","직거래","-"
"17","서울특별시 강남구 개포동","집합","186-16","개포로","일반상업","제2종근린생활","25m미만","28.60"," ","160,000","1","법인","개인","202408","31","","1984","-","중개거래","서울 강남구"
"18","서울특별시 서대문구 남가좌동","집합","382-7","","제3종일반주거","제2종근린생활","25m미만","128.65"," ","73,000","2","개인","개인","202408","31","","","-","중개거래","서울 서대문구"
"19","서울특별시 용산구 보광동","일반","8*","장문로","제2종일반주거","제2종근린생활","12m미만","176.33","98.00","400,000","","개인","법인","202408","31","","1977","-","중개거래","서울 용산구"
"20","경기도 성남시 분당구 구미동","집합","297-2","구미로173번길","일반상업","기타","25m이상","41.53"," ","24,000","5","개인","개인","202408","31","","2003","-","중개거래","경기 성남시 분당구"
"21","서울특별시 용산구 동빙고동","집합","89-1","서빙고로75길","제3종일반주거","제2종근린생활","8m미만","40.86"," ","260,000","1","개인","개인","202408","31","","1974","-","중개거래","서울 용산구"
"22","경기도 양주시 남면 신산리","일반","4**","감악산로","자연녹지","제1종근린생활","25m미만","132.09","2080.00","68,640","","개인","개인","202408","31","","1989","-","중개거래","경기 양주시"
"23","경기도 화성시 반송동","집합","103-2","메타폴리스로","일반상업","제1종근린생활","25m이상","48.26"," ","51,500","1","개인","개인","202408","31","","2007","-","중개거래","경기 화성시"
"24","경기도 연천군 청산면 궁평리","일반","1**","궁평로","계획관리","제1종근린생활","8m미만","214.99","202.00","20,000","","개인","개인","202408","31","","","-","중개거래","경기 연천군"
"25","인천광역시 계양구 박촌동","집합","319","장제로","제2종일반주거","제2종근린생활","25m이상","29.20"," ","46,000","1","개인","개인","202408","31","","2011","-","중개거래","인천 계양구"
"26","강원특별자치도 원주시 중앙동","집합","56-44","","일반상업","제1종근린생활","12m미만","12.96"," ","1,900","","개인","개인","202408","31","","1987","-","중개거래","강원 원주시"
"27","부산광역시 동구 초량동","집합","*","","일반상업","숙박","-","123.76"," ","118,000","","법인","개인","202408","31","","2021","-","중개거래","부산 동구"
"28","인천광역시 계양구 용종동","집합","210-2","계산새로87번길","일반상업","제2종근린생활","25m미만","50.73"," ","52,000","1","개인","개인","202408","31","","2001","-","중개거래","인천 계양구"
"29","서울특별시 서대문구 남가좌동","집합","382-7","","제3종일반주거","제2종근린생활","25m미만","106.64"," ","52,000","2","개인","개인","202408","31","","","-","중개거래","서울 서대문구"
"30","경상남도 창원시 마산합포구 산호동","일반","1*","산호북6길","제2종일반주거","제1종근린생활","8m미만","82.48","77.00","10,200","","개인","개인","202408","31","","1983","-","중개거래","경남 창원시 마산합포구"
"31","전북특별자치도 전주시 완산구 효자동3가","일반","1***","백마산길","자연녹지","제1종근린생활","8m미만","114.42","321.00","20,000","","개인","개인","202408","31","","2003","-","중개거래","전북 전주시 완산구"
"32","부산광역시 북구 구포동","일반","8**","낙동북로772번가길","제2종일반주거","제2종근린생활","8m미만","332.73","160.00","16,200","","개인","개인","202408","31","","1990","-","중개거래","부산 북구"
"33","강원특별자치도 원주시 중앙동","집합","56-44","","일반상업","제1종근린생활","12m미만","12.96"," ","1,900","","개인","개인","202408","31","","1987","-","중개거래","강원 원주시"
"34","경기도 하남시 신장동","집합","517","하남대로","일반상업","기타","25m이상","84.89"," ","57,700","8","개인","개인","202408","31","","2010","-","중개거래","경기 하남시"
"35","경상북도 안동시 태화동","일반","5*","대안로","일반상업","제2종근린생활","25m미만","2134.41","492.60","133,000","","법인","개인","202408","31","","1995","-","중개거래","경북 안동시"
"36","전북특별자치도 완주군 구이면 항가리","일반","9**","마음길","생산관리","제2종근린생활","8m미만","66.00","447.00","9,246","","개인","개인","202408","31","","2018","-","직거래","-"
"37","강원특별자치도 춘천시 운교동","일반","1**","춘천로","일반상업","제2종근린생활","8m미만","106.04","163.30","26,600","","개인","개인","202408","31","","1969","-","중개거래","강원 춘천시"
"38","부산광역시 서구 암남동","집합","354-1","충무대로","일반상업","기타","25m미만","32.00"," ","2,500","","개인","개인","202408","31","","1996","-","중개거래","부산 서구"
"39","경기도 시흥시 정왕동","집합","1364","공단1대로","준공업","업무","25m이상","22.22"," ","3,200","3","개인","개인","202408","31","","1997","-","중개거래","경기 시흥시"
