"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-01 ~ 2024-08-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 송파구 방이동","89","0089","0000","올림픽선수기자촌3단지","83.0600","202408","31","225,000","315","4","개인","개인","1988","양재대로 1218","-","중개거래","서울 송파구","24.11.29"
"2","부산광역시 기장군 기장읍 내리","792","0792","0000","동부산관광단지삼정그린코아더베스트","84.9887","202408","31","43,900","104동","10","개인","개인","2017","기장대로 82-8","-","중개거래","부산 기장군","24.10.30"
"3","서울특별시 강남구 삼성동","106","0106","0000","풍림(1차)","59.7000","202408","31","170,000","-","14","개인","개인","1998","영동대로112길 15","-","중개거래","서울 강남구, 서울 서초구","24.10.31"
"4","서울특별시 마포구 창전동","449","0449","0000","마포웨스트리버태영데시앙","102.7000","202408","31","165,000","102동","17","개인","개인","2019","서강로3길 32","-","중개거래","서울 마포구","24.10.25"
"5","서울특별시 성북구 정릉동","239","0239","0000","정릉풍림아이원","60.0000","202408","31","55,000","128","12","개인","개인","2005","솔샘로25길 11-11","-","중개거래","서울 성북구","24.10.28"
"6","서울특별시 성북구 정릉동","239","0239","0000","정릉풍림아이원","59.8800","202408","31","49,300","124","14","개인","개인","2005","솔샘로 120","-","중개거래","서울 성북구","24.10.02"
"7","서울특별시 성북구 정릉동","494","0494","0000","중앙하이츠빌1단지","84.9800","202408","31","68,900","107","3","개인","개인","2004","아리랑로19길 60","-","중개거래","서울 성북구","24.11.29"
"8","서울특별시 중랑구 묵동","396","0396","0000","이편한세상화랑대","84.9560","202408","31","103,000","109동","3","개인","개인","2017","숙선옹주로 45","-","중개거래","서울 중랑구","24.12.06"
"9","서울특별시 중랑구 묵동","383","0383","0000","세방","84.8000","202408","31","62,000","101","16","개인","개인","2000","숙선옹주로9길 25","-","중개거래","서울 중랑구","25.02.14"
"10","대구광역시 동구 신암동","1881","1881","0000","동대구더센트로데시앙","74.9463","202408","31","49,500","103동","4","개인","개인","2023","신암로20길 63","-","중개거래","대구 동구, 대구 수성구","24.10.24"
"11","서울특별시 강남구 대치동","65","0065","0000","쌍용대치2","120.7600","202408","31","323,000","7","10","개인","개인","1983","영동대로 220","-","중개거래","서울 강남구","24.12.13"
"12","서울특별시 강남구 대치동","890-42","0890","0042","대치동우정에쉐르2(890-42)","68.5900","202408","31","87,500","-","11","개인","개인","2004","테헤란로68길 15","-","중개거래","서울 강남구","25.01.06"
"13","서울특별시 강남구 대치동","902","0902","0000","포스코더샵","139.5400","202408","31","320,000","103","8","개인","개인","2004","삼성로 417","-","중개거래","경기 성남시 분당구, 서울 강남구","24.12.09"
"14","부산광역시 기장군 정관읍 용수리","1322","1322","0000","정관신동아파밀리에","140.1100","202408","31","48,000","109","14","개인","개인","2008","정관5로 75","-","중개거래","부산 기장군","24.09.20"
"15","서울특별시 성북구 보문동6가","458","0458","0000","보문파크뷰자이","45.8100","202408","31","77,500","101동","4","개인","개인","2017","보문사길 111","-","중개거래","서울 성북구","24.10.21"
"16","부산광역시 북구 만덕동","953","0953","0000","쌍용스윗닷홈","84.9876","202408","31","34,200","101","12","개인","개인","2005","만덕3로 49","-","중개거래","부산 북구","24.12.02"
"17","부산광역시 북구 만덕동","960","0960","0000","더 래디언트 금정산","59.8100","202408","31","31,850","106","4","개인","개인","2019","상학로 35","-","중개거래","부산 북구","24.12.05"
"18","부산광역시 북구 만덕동","290-1","0290","0001","삼성","82.2000","202408","31","28,000","7","1","개인","개인","1989","만덕2로 10","-","중개거래","부산 북구","24.09.02"
"19","부산광역시 북구 덕천동","344-2","0344","0002","신도","60.7600","202408","31","19,000","비","2","개인","개인","1980","만덕대로65번길 29","-","중개거래","부산 북구","24.09.12"
"20","서울특별시 강남구 도곡동","967","0967","0000","경남","59.7600","202408","31","160,000","103","4","개인","개인","2005","논현로 209","-","중개거래","서울 강남구","24.12.26"
"21","서울특별시 강남구 논현동","105","0105","0000","동현아파트1~6","84.9200","202408","31","219,000","4","5","개인","개인","1986","언주로146길 18","-","중개거래","서울 강남구","24.12.23"
"22","서울특별시 강남구 논현동","275","0275","0000","동부센트레빌","84.9875","202408","31","179,000","101","9","개인","개인","2003","언주로116길 6","-","중개거래","서울 강남구","24.12.16"
"23","서울특별시 성북구 돈암동","609-1","0609","0001","한신","68.1300","202408","31","70,000","106","15","개인","개인","1998","성북로4길 52","-","중개거래","서울 성북구","25.01.10"
"24","서울특별시 마포구 아현동","777","0777","0000","마포래미안푸르지오1단지","84.5978","202408","31","180,000","105","1","개인","개인","2014","마포대로 195","-","중개거래","서울 마포구","24.11.29"
"25","부산광역시 부산진구 당감동","573-89","0573","0089","서면비스타동원","59.9998","202408","31","44,200","104동","22","개인","개인","2024","마철로 114","-","중개거래","부산 부산진구","24.11.22"
"26","서울특별시 강남구 압구정동","369-1","0369","0001","현대2차(10,11,20,23,24,25동)","160.2800","202408","31","718,000","25","14","개인","개인","1976","압구정로29길 71","-","중개거래","서울 강남구","25.01.03"
"27","서울특별시 강남구 압구정동","481","0481","0000","현대8차(성수현대:91~95동)","163.6700","202408","31","600,000","93","8","개인","개인","1980","압구정로 309","-","중개거래","서울 강남구","24.11.15"
"28","서울특별시 강남구 압구정동","434","0434","0000","신현대12차","170.3800","202408","31","670,000","114","6","개인","개인","1982","압구정로 151","-","중개거래","서울 강남구","25.01.15"
"29","부산광역시 부산진구 당감동","807-4","0807","0004","동일스위트","84.9772","202408","31","26,000","104","10","개인","개인","2005","백양관문로 115","-","중개거래","부산 부산진구","24.12.18"
"30","서울특별시 마포구 상암동","1660","1660","0000","상암월드컵파크7단지","104.7700","202408","31","138,500","710","13","개인","개인","2005","상암산로1길 92","-","중개거래","서울 동대문구, 서울 마포구","24.12.16"
"31","서울특별시 강남구 일원동","741","0741","0000","래미안 개포 루체하임","59.9800","202408","31","245,000","109","21","개인","개인","2018","개포로110길 50","-","중개거래","서울 강남구","24.10.29"
"32","서울특별시 마포구 상암동","1643","1643","0000","상암월드컵파크3단지","84.9400","202408","31","111,000","303","13","개인","개인","2003","월드컵로 338","-","중개거래","서울 마포구","24.12.02"
"33","부산광역시 강서구 명지동","3235","3235","0000","엘크루솔마레","84.9870","202408","31","43,800","106","8","개인","개인","2014","명지오션시티12로 10","-","중개거래","부산 강서구","24.10.25"
