"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-01 ~ 2024-08-31"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","경상북도 포항시 북구 장성동","1612","1612","0000","두산위브더제니스","월세","107.7000","202408","31","28,000","50","34","2010","새천년대로 1235","202410~202510","신규","-","","","아파트"
"2","경기도 고양시 덕양구 화정동","961","0961","0000","은빛마을11단지","전세","60.0000","202408","31","28,000","0","16","1996","백양로 126","202409~202609","갱신","-","26,250","0","아파트"
"3","경기도 고양시 덕양구 화정동","936","0936","0000","은빛마을6단지","전세","132.8100","202408","31","55,000","0","6","1996","화정로 27","202411~202611","신규","-","","","아파트"
"4","충청남도 천안시 동남구 풍세면 보성리","772","0772","0000","천안한양수자인에코시티","월세","84.9610","202408","31","500","35","6","2023","풍세산단로 290","202409~202509","신규","-","","","아파트"
"5","경상북도 포항시 북구 장성동","1612","1612","0000","두산위브더제니스","월세","107.7000","202408","31","28,000","50","34","2010","새천년대로 1235","202410~202610","신규","-","","","아파트"
"6","경기도 성남시 수정구 고등동","576","0576","0000","판교밸리포레자이","월세","59.7200","202408","31","42,000","40","9","2021","고등로 33","202409~202609","갱신","사용","42,000","70","아파트"
"7","경상남도 창원시 마산합포구 월영동","738","0738","0000","마린애시앙부영","전세","149.4602","202408","31","37,500","0","15","2019","가포순환로 33","202410~202610","신규","-","","","아파트"
"8","경기도 고양시 덕양구 토당동","913","0913","0000","대곡역두산위브1단지","전세","59.9900","202408","31","33,600","0","15","2023","호수로 6","202411~202611","갱신","사용","32,000","0","아파트"
"9","경기도 고양시 덕양구 토당동","913","0913","0000","대곡역두산위브1단지","전세","69.9900","202408","31","45,000","0","12","2023","호수로 6","202410~202610","신규","-","","","아파트"
"10","경기도 용인시 기흥구 상하동","675","0675","0000","지석마을그대가크레던스","월세","113.3480","202408","31","20,000","80","13","2010","어정로 62-28","202410~202510","신규","-","","","아파트"
